ilkid,firstname,lastname,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
BAILEJA01 ,James,Bailey,14,164,59,21,10,31,6,11,10,12,27,47,22,22,15,0,0
BAILETH01 ,Thurl,Bailey,69,2117,929,266,116,382,98,30,82,109,196,811,364,241,201,4,0
BAILETO01 ,Toby,Bailey,5,15,4,1,1,2,2,0,0,0,1,4,1,4,2,0,0
BAKERVI01 ,Vin,Baker,24,749,316,95,74,169,33,29,25,44,88,281,138,73,39,2,1
BALLAGR01 ,Greg,Ballard,65,1308,481,102,53,326,103,51,16,42,120,423,183,140,111,13,4
BANKSGE01 ,Gene,Banks,27,702,292,82,55,137,67,16,4,35,63,256,129,57,34,3,0
BANKSMA01 ,Marcus,Banks,11,164,52,16,2,18,14,6,1,9,25,45,20,10,7,11,5
BANTOMI01 ,Mike,Bantom,29,564,178,41,44,108,33,16,10,30,97,145,70,69,38,0,0
BARBOLE01 ,Leandrinho,Barbosa,12,116,30,12,5,17,12,3,0,5,8,35,12,4,2,10,4
BARKECL01 ,Cliff,Barker,9,0,42,0,0,15,23,0,0,0,20,50,16,18,10,0,0
BARKLCH01 ,Charles,Barkley,123,4849,2833,1072,510,1582,482,193,108,353,408,1965,1009,1048,751,251,64
BARKSDO01 ,Don,Barksdale,13,228,84,0,0,62,17,0,0,0,40,76,29,32,26,0,0
BARNEDI01 ,Dick,Barnett,102,3031,1539,0,0,273,247,0,0,0,282,1317,603,445,333,0,0
BARNEJI01 ,Jim,Barnes,11,200,64,0,0,61,6,0,0,0,35,63,26,18,12,0,0
BARNEJI02 ,Jim,Barnett,30,669,321,0,0,74,78,0,0,0,64,303,127,83,67,0,0
BARNEMA01 ,Marvin,Barnes,10,444,308,0,0,141,16,0,0,0,45,249,124,77,60,0,0
BARNHJO01 ,John,Barnhill,14,317,77,0,0,33,25,0,0,0,41,88,28,41,21,0,0
BARNHJO01 ,John,Barnhill,21,421,111,0,0,41,44,0,0,0,42,113,46,31,19,0,0
BARNHLE01 ,Leo,Barnhorst,13,224,140,0,0,45,35,0,0,0,44,146,57,37,26,0,0
BARREER01 ,Ernie,Barrett,9,106,19,0,0,13,8,0,0,0,21,33,7,5,5,0,0
BARRMI01  ,Mike,Barr,20,639,135,0,0,65,72,0,0,0,62,128,58,24,19,0,0
BARRODA01 ,Dana,Barros,31,264,132,21,2,23,26,12,0,17,20,104,53,12,9,39,17
BARRYBR01 ,Brent,Barry,36,942,257,76,23,99,83,25,11,47,86,199,85,48,39,113,48
BARRYDR01 ,Drew,Barry,2,5,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
BARRYJO01 ,Jon,Barry,62,929,326,96,22,118,85,32,3,52,69,270,109,56,48,149,60
BARRYRI01 ,Rick,Barry,31,1338,997,0,0,257,116,0,0,0,90,767,381,273,235,0,0
BARRYRI01 ,Rick,Barry,74,2723,1833,6,0,418,340,1,3,10,232,1688,719,448,392,12,3
BASSETI01 ,Tim,Bassett,19,556,170,0,0,182,29,0,0,0,64,158,77,23,16,0,0
BASSETI01 ,Tim,Bassett,5,36,8,0,1,3,0,0,0,1,11,7,3,2,2,0,0
BATESBI01 ,Billyray,Bates,6,219,160,12,5,17,25,10,2,26,24,121,66,31,25,8,3
BATTISH01 ,Shane,Battier,8,188,48,23,16,39,7,2,5,8,31,46,19,11,6,14,4
BATTITO01 ,Tony,Battie,26,656,163,118,52,170,18,14,44,18,93,141,73,29,17,3,0
BATTLJO01 ,John,Battle,55,719,348,53,17,70,82,13,1,55,70,289,124,112,96,22,4
BATTLKE01 ,Kenny,Battle,8,34,9,4,1,5,0,0,0,2,5,13,4,1,1,0,0
BAUMJO01  ,Johnny,Baum,33,600,262,0,0,113,13,0,0,0,66,217,117,39,28,0,0
BAUMJO01  ,Johnny,Baum,2,5,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
BAYLOEL01 ,Elgin,Baylor,134,5510,3623,0,0,1725,541,0,0,0,435,3151,1388,1101,847,0,0
BAYNEHO01 ,Howard,Bayne,5,85,12,0,0,23,5,0,0,0,12,19,3,11,6,0,0
BEARDAL01 ,Al,Beard,32,754,289,0,0,119,88,10,2,0,105,259,115,89,59,0,0
BEARDRA01 ,Ralph,Beard,8,0,132,0,0,12,35,0,0,0,17,131,49,45,34,0,0
BEASLCH01 ,Charlie,Beasley,23,698,261,0,0,50,80,0,0,0,48,218,99,78,63,0,0
BEASLJO01 ,John,Beasley,51,1274,552,0,0,376,62,0,0,0,105,465,228,112,96,0,0
BEATYZE01 ,Zelmo,Beaty,52,2000,991,0,0,674,102,0,0,0,192,691,369,303,253,0,0
BEATYZE01 ,Zelmo,Beaty,63,2345,1071,0,0,696,98,0,0,0,267,857,399,380,273,0,0
BECKBY01  ,Byron,Beck,56,1601,781,0,0,424,76,0,0,0,194,678,320,171,141,0,0
BECKBY01  ,Byron,Beck,5,29,8,0,0,6,1,0,0,0,5,9,3,2,2,0,0
BECKCO01  ,Corey,Beck,6,26,15,0,1,1,0,4,0,3,4,12,6,2,2,2,1
BECKEAR01 ,Art,Becker,25,415,178,0,0,86,14,0,0,0,64,143,68,51,42,0,0
BECKER01  ,Ernie,Beck,24,517,175,0,0,99,43,0,0,0,53,180,72,44,31,0,0
BEDFOWI01 ,William,Bedford,14,93,29,17,9,26,4,3,5,4,19,36,9,16,11,2,0
BEHAGRO01 ,Ron,Behagen,8,122,51,1,1,31,9,0,0,1,32,50,24,3,3,0,0
BELLAWA01 ,Walt,Bellamy,46,1939,850,0,0,680,136,0,0,0,160,686,323,318,204,0,0
BELLDE01  ,Dennis,Bell,3,27,2,0,0,4,0,0,0,0,6,8,1,5,0,0,0
BELLRA01  ,Raja,Bell,35,437,133,47,18,65,34,20,0,11,61,103,53,34,19,23,8
BEMORIR01 ,Irv,Bemoras,3,20,9,0,0,6,1,0,0,0,4,8,3,3,3,0,0
BENBOLE01 ,Leon,Benbow,2,5,5,0,0,1,2,0,0,0,0,4,2,2,1,0,0
BENDEJO01 ,Jonathan,Bender,34,303,112,29,13,42,9,5,19,17,30,97,40,28,19,36,13
BENJABE01 ,Benoit,Benjamin,18,432,145,78,22,100,7,10,34,24,53,99,50,58,45,1,0
BENNEMA01 ,Mario,Bennett,6,18,8,5,4,9,0,0,1,2,2,6,3,2,2,0,0
BENNETO01 ,Tony,Bennett,8,86,30,8,1,9,13,2,1,5,8,25,12,2,2,8,4
BENNEWI01 ,Winston,Bennett,5,135,50,7,14,21,5,3,1,4,11,47,23,6,4,0,0
BENOIDA01 ,David,Benoit,57,1237,410,151,62,213,34,19,31,54,111,381,158,74,56,97,38
BENSOKE01 ,Kent,Benson,29,432,137,58,21,94,14,18,14,11,72,116,56,36,25,0,0
BERRYWA01 ,Walter,Berry,7,151,99,14,16,30,11,7,3,17,18,76,40,23,19,1,0
BESTTR01  ,Travis,Best,63,1222,442,92,34,126,173,45,8,77,165,380,157,120,105,76,23
BIANCAL01 ,Al,Bianchi,56,1135,448,0,0,125,101,0,0,0,193,471,184,115,80,0,0
BIBBYHE01 ,Henry,Bibby,72,1743,566,29,15,176,231,23,0,27,165,533,211,181,139,13,5
BIBBYMI01 ,Mike,Bibby,45,1762,814,127,36,163,257,67,15,103,112,680,291,202,167,176,65
BILLUCH01 ,Chauncey,Billups,68,2511,1166,202,43,245,383,68,10,153,185,872,350,396,353,333,113
BINGDA01  ,Dave,Bing,31,964,477,0,0,85,133,0,0,0,76,452,191,127,95,0,0
BIRDLA01  ,Larry,Bird,164,6886,3897,1323,360,1683,1062,296,145,506,466,3090,1458,1012,901,249,80
BIRDSOT01 ,Otis,Birdsong,35,1090,546,54,32,104,104,56,5,61,89,483,232,139,81,11,1
BLABUW01  ,Uwe,Blab,7,29,12,5,2,7,1,1,1,3,6,7,3,12,6,0,0
BLACKCH01 ,Charlie,Black,8,0,57,0,0,0,17,0,0,0,38,61,18,29,21,0,0
BLACKRO01 ,Rolando,Blackman,69,2137,1110,122,78,200,217,42,14,126,119,897,434,268,233,31,9
BLAKEST01 ,Steve,Blake,4,17,2,3,0,3,2,0,0,1,3,4,1,0,0,1,0
BLANKLA01 ,Lance,Blanks,1,10,2,1,0,1,3,3,0,1,2,2,1,0,0,0,0
BLAYLMO01 ,Mookie,Blaylock,54,2161,769,199,67,266,357,116,24,162,102,757,280,123,84,357,125
BLOCKJO01 ,John,Block,21,288,130,0,0,75,9,0,0,0,38,112,50,39,30,0,0
BLOUNCO01 ,Corie,Blount,37,487,85,81,60,141,13,14,12,21,79,67,32,35,21,1,0
BLOUNMA01 ,Mark,Blount,22,370,93,58,28,86,8,19,18,23,50,75,35,33,23,0,0
